CNUM_PK,CNAME,CTYPE,CCEO,CSIZE,CNOP,CESD,CPROD,CSITE,CSTATE,CINC,CANN
1,(주)지디텍,반도체 제조용 기계 제조업,김민수,중소기업,24,2015.7.24(업력 10년차),반도체 제조용 기계제조,https://ko.jeih.co.jp/,경기 안양시 동안구 학의로 268,0,5212
2,(주)에스에스티랩,컴퓨터 프로그래밍 서비스업,최광윤,중소기업,18,2018.9.18(업력 7년차),소프트웨어 개발 및 공급,www.sstlabs.net,경기 성남시 분당구 판교로 255번길 9-22,"31억8,117만원",5831
3,(주)나이콤,사무용 기계 및 장비 제조업,김대영,중소기업,94,2001.8.21(업력 24년차),"도서관출입통제시스템,컴퓨터관련기기,전자기기,전자부품,책운반기 제조,개발/인테리어공사,정보통신공사",www.enicom.co.kr,경기 안양시 동안구 시민대로 109번길 11,"160억2,178만원",4766
4,주식회사 넥스버,기기용 자동측정 및 제어장치 제조업,이유형,중소기업,12,2015.11.17(업력 10년차),0,https://nexber.com/,경기 안양시 동안구 시민대로230,"52억7,200만원",4987
5,보은전자방송통신(주),방송장비 제조업,우영섭,중소기업,40,1986.4.10(업력 39년차),"방송장비(그래픽문자발생기,감시카메라) 제조/소프트웨어 개발",www.bon.co.kr,서울 강서구 양천로 57길 26,"80억4,366만원",0
6,인텔릭스(주),컴퓨터 제조업,반천식,중소기업,134,2009.2.19(업력 16년차),"임베디드하드웨어 제조/연구,개발",www.intellics.co.kr,경기 성남시 분당구 판교로 700,210억96만원,5107
7,(주)태영소프트,응용 소프트웨어 개발 및 공급업,나승호,중소기업,52,2005.7.26(업력 20년차),"소프트웨어 개발,정보처리,기술제공/의료기기 제조,도소매",http://taeyoungsoft.com,경기 과천시 과천대로7길 65,"77억9,376만원",5840
8,참엔지니어링(주),디스플레이 제조용 기계 제조업,이경희,중견기업,140,1973.10.4(업력 52년차),"FPD Repair장비,반도체장비 제조",www.charmeng.com,경기 용인시 처인구 남사읍 형제로 5,0,6580
9,(주)씨코드,컴퓨터 프로그래밍 서비스업,정원주,중소기업,49,2009.5.11(업력 16년차),컴퓨터 프로그래밍 서비스업 ,https://ccode.co.kr,경기 용인시 기흥구 기흥로58-1,0,5690
10,(주)맥사이언스,"전자기 측정, 시험 및 분석기구 제조업",윤철오,중소기업,56,2000.4.27(업력 25년차),"디스플레이검사장비,수명측정장비,Aging테스트장비,전자계측장비,...",www.mcscience.com,경기 수원시 영통구 덕영대로1556번길,"125억1,106만원",5435
11,(주)위즈코리아,응용 소프트웨어 개발 및 공급업,김기배,중소기업,69,2003.7.1(업력 22년차),"소프트웨어(감사시스템,위변조 탐지시스템) 개발,공급 ",www.weeds.co.kr,서울 강서구 공항대로 321,"116억 1,966만원",4770
12,(주)듀얼아이,컴퓨터 제조업,권성욱,중소기업,35,2000.2.25(업력 25년차),"디지털보안시스템,정보통신공사,무역,통신판매업,임대,S/W자문...",www.duali.com/kr,경기 수원시 영통구 신원로 306,"93억 3,567만원",5621
13,(주)베이론텍,컴퓨터 제조업,한종원,중소기업,28,2006.101(업력 19년차),"컴퓨터및주변기기,자동화기기,제어계측설비,컴퓨터및주변기기,...",www.veyrontec.com,서울 구로구 디지털로33길 37,"67억 4,502만원",8874
14,(주)아이엠에스나노텍,기타 반도체 제조업,이태형,중소기업,25,2002.4.30(업력 23년차),반도체자동화장비외 ,http://imsnt.com,서울 구로구 디지털로29길 38,"106억 3,655만원",6802
15,(주)엔클로니,기타 특수목적용 기계 제조업,이경혹,중소기업,53,2013.11.5(업력 12년차),"검사장비,펄프,종이 가공용 기계,고무,화학섬유,플라스틱 성형기 …",www.enclony.com/eng/index.php,서울 구로구 디지털로 243,"105억 2,793만원",5066
16,(주)예인시스템,상품 종합 도매업,김원진,중소기업,16,1999.11.1(업력 26년차),무역．자동인식기기(바코드)의하드웨어,www.yeinsys.co.kr,서울 구로구 디지털로 32길 30,50억 794만원,5527
17,(주)이지디에스,시스템 소프트웨어 개발 및 공급업,최한호,중소기업,40,2009.4.16(업력 16년차),"소프트웨어개발,자동차진단기제조,수출입업 ",www.zenithdiag.com,서울 송파구 법원로11길 11,150억원,6845
18,(주)힘스,디스플레이 제조용 기계 제조업,김주환,중소기업,204,1999.1.15(업력 26년차),"OLED Mask 인장기,OLED Mask 검사기 등,자동화부품 제조,...",www.hims.co.kr,인천 남동구 남동서로 126,"914억2,566만원",5737
19,(주)씽크소프트,시스템 소프트웨어 개발 및 공급업,박주현,중소기업,18,2017.5.22(업력 8년차),0,think-soft.co.kr,충청남도 아산시 음봉면 월산로 247,"13억 6,314만원",4898
20,(주)보다,"사진기, 영사기 및 관련 장비 제조업",최우영,중소기업,22,2020.5.6(업력 5년차),지능형 감시카메라 제조 ,www.vodai.co.kr,충북 청주시 흥덕구 오송읍 오송생명로2로,"102억 9,825만원",5557
21,(주)레이시온,기타 전기장비 제조업,김성규,"중소기업, 주식회사",24명 (2023년 기준),2014.03.11,"산업용레이저장비 제조,도소매 ",www.rayxion.com,경기 오산시 외삼미로91번기 92,0,0
22,(주)싸이맥스,반도체 제조용 기계 제조업,정혜승/정광영,"코스닥,중견기업,스타트업,주식회사",220명 (2021년기준),2005.12.02,"반도체장비,FPD관련장비 제조,도소매/소프트웨어 자문,개발,공급 ",http://cymechs.com,경기 화성시 동탄산단 2길 47,"2422억 6,000만원 (2021년 기준)",6151
23,(주)이엔씨테크놀로지,"전자기측정, 시험 및 분석기구 제조업",이동구,"중견기업,스타트업,수출입 기업",93명 (2017년 기준),1999.10.04,"전자측정장비(FPD평가시스템,평판디스플레이,AGING검사시스템,OLED수...",www.enctech.co.kr,경기 화성시 동탄산단8길 47,"357억 3,431만원 (2017년 기준)",0
24,(주)네비웍스,응용 소프트웨어 개발 및 공급업,원준희,"중소기업,스타트업,주식회사,병력특례",118명 (2023년 기준),2000.02.08,"소프트웨어개발,공급/기계,컴퓨터 제 ",www.naviworks.com,경기 안양시 동안구 부림로 170번길 41-18,"110억 4,233만원 (2022년기준)",4747
