HNUM_PK,SNULLC,SOLDC,SNEWC,SEDU,SEOUL,GYEONGGI,DAEJEON,INCHEON,GWANGJU,C,C++,C#,PYTHON,JAVA
1,x,o,o,2,x,o,x,x,x,o,o,x,x,x
2,x,o,o,0,x,o,x,x,x,o,o,x,x,x
3,x,o,o,2,x,o,x,x,x,o,o,o,x,x
4,x,o,o,2,x,o,x,x,x,o,o,x,x,x
5,x,x,o,0,o,x,x,x,x,o,o,o,x,x
6,x,o,o,3,x,o,x,x,x,o,o,o,x,o
7,o,x,o,0,o,o,x,x,x,o,o,x,x,x
8,x,o,o,3,x,o,x,x,x,o,o,o,x,x
9,o,x,o,2,x,o,x,x,x,o,o,x,x,x
10,o,x,o,2,x,o,x,x,x,o,x,o,x,x
11,x,o,o,0,o,x,o,x,o,o,o,x,x,x
12,x,o,o,2,o,o,x,x,x,o,o,x,x,x
13,o,x,o,2,o,x,x,x,x,o,o,o,x,x
14,x,o,o,3,o,x,x,x,x,x,x,x,x,x
15,x,o,o,3,o,x,x,x,x,o,o,o,x,x
16,o,x,o,2,o,x,x,x,x,o,x,o,x,x
17,o,x,o,1,o,x,x,x,x,o,x,o,x,x
18,o,o,o,2,x,x,x,o,x,o,o,o,x,x
19,o,o,o,0,x,x,x,x,x,o,x,o,x,x
20,o,x,o,0,x,x,x,x,x,o,o,x,o,o
21,x,o,o,2,x,o,x,x,x,o,x,o,x,x
22,x,o,o,0,x,o,x,x,x,o,o,o,x,x
23,o,x,o,2,x,o,x,x,x,o,x,o,x,x
24,x,o,o,3,x,o,x,x,x,o,o,o,x,x
25,o,o,o,3,x,x,o,x,x,o,o,o,x,x
26,o,o,o,2,x,x,o,x,x,o,o,o,x,x
27,x,o,o,3,o,x,x,x,x,o,o,x,x,x
28,o,o,o,2,o,x,x,x,x,o,o,x,x,x
29,x,o,o,2,o,x,x,x,x,o,o,x,x,x
30,x,x,o,2,o,x,x,x,x,o,o,o,x,x
31,x,o,o,2,x,o,x,x,x,o,o,o,x,x
32,x,o,o,3,x,o,x,x,x,o,o,o,x,x
33,x,o,o,3,x,o,x,x,x,o,o,o,x,x
34,x,o,o,0,o,x,x,x,x,o,o,o,x,x
35,o,x,o,2,x,o,x,x,x,o,o,o,x,x
36,o,o,o,2,x,o,x,x,x,o,o,o,x,o
37,x,x,o,0,x,o,x,x,x,o,o,x,x,x
38,x,o,o,2,x,o,x,x,x,o,o,x,x,x
39,x,x,o,2,x,o,x,x,x,o,o,x,x,x
40,o,x,o,2,x,o,x,x,x,o,o,x,x,x
41,x,o,o,3,x,o,x,x,x,o,o,o,x,x
42,o,x,o,3,o,x,x,x,x,o,o,x,x,x
43,o,o,x,1,o,x,x,x,x,o,o,x,x,x
44,x,o,o,3,o,x,x,x,x,o,o,x,x,x
45,o,x,o,0,x,o,x,x,x,o,o,x,o,x
46,o,o,o,3,o,x,x,x,x,o,o,x,x,x
47,x,o,x,0,o,x,x,x,x,o,o,x,x,x
48,x,x,o,3,x,o,x,x,x,o,o,o,x,x
49,x,o,o,2,o,x,x,x,x,o,o,x,x,x
50,x,o,o,2,x,x,x,o,x,o,o,x,x,x
51,x,x,o,0,x,o,x,x,x,o,o,x,x,x
52,x,o,o,2,x,x,x,o,x,o,o,o,x,x
53,x,o,o,2,x,o,x,x,x,o,o,x,x,x
54,x,o,o,2,o,x,x,x,x,o,o,o,x,x
55,x,o,o,2,x,o,x,x,x,o,o,x,o,o
56,x,o,o,2,o,x,x,x,x,o,o,x,x,x
57,x,o,o,0,x,o,x,x,x,o,o,x,x,x
58,x,o,o,2,o,x,x,x,x,o,o,x,x,o
59,x,x,o,2,o,x,x,x,x,o,o,o,o,o
60,x,o,o,0,x,o,x,x,x,o,o,o,x,x
